step,thrust,turn,x,y,theta
123,0.688194,0.029651,161.538,204.778,0.284240
124,0.688709,0.027082,162.198,204.974,0.287798
125,0.689720,0.034464,162.858,205.171,0.291048
126,0.683558,0.038160,163.518,205.372,0.295184
127,0.676901,-0.006495,164.171,205.574,0.299763
128,0.676853,-0.058740,164.817,205.773,0.298983
129,0.676422,-0.020020,165.466,205.968,0.291935
130,0.675776,-0.020209,166.114,206.161,0.289532
131,0.672393,-0.028681,166.762,206.353,0.287107
132,0.670050,-0.055196,167.408,206.541,0.283665
133,0.672314,-0.048144,168.052,206.724,0.277042
134,0.666323,-0.082995,168.700,206.904,0.271265
135,0.668013,-0.081920,169.344,207.076,0.261305
136,0.672202,-0.031522,169.991,207.242,0.251475
137,0.673350,-0.145608,170.642,207.407,0.247692
138,0.679250,-0.155850,171.298,207.561,0.230219
139,0.680775,-0.067282,171.962,207.704,0.211517
140,0.682588,-0.061063,172.629,207.841,0.203443
141,0.685405,-0.104322,173.298,207.974,0.196116
142,0.687004,-0.185228,173.972,208.099,0.183597
143,0.680825,-0.139382,174.650,208.210,0.161370
144,0.684759,-0.115574,175.324,208.308,0.144644
145,0.687417,-0.184705,176.003,208.397,0.130775
146,0.688168,-0.134950,176.686,208.472,0.108610
147,0.687969,-0.087823,177.371,208.535,0.092416
148,0.686999,-0.011852,178.057,208.591,0.081878
149,0.691654,-0.002273,178.742,208.647,0.080455
150,0.696576,-0.003780,179.431,208.702,0.080183
151,0.695588,0.120727,180.126,208.757,0.079729
152,0.697726,0.122680,180.818,208.823,0.094216
153,0.699095,0.156542,181.512,208.899,0.108938
154,0.700112,0.110409,182.205,208.988,0.127723
155,0.705343,0.114597,182.898,209.086,0.140972
156,0.708479,0.064006,183.595,209.195,0.154724
157,0.708872,0.043858,184.294,209.309,0.162404
158,0.708696,0.069592,184.993,209.428,0.167667
159,0.709410,0.058965,185.691,209.552,0.176018
160,0.708572,0.048561,186.389,209.681,0.183094
161,0.705566,0.041551,187.084,209.814,0.188922
162,0.701906,0.030663,187.777,209.950,0.193908
163,0.698250,0.041148,188.465,210.088,0.197587
164,0.688331,0.080344,189.149,210.228,0.202525
165,0.688130,0.074133,189.822,210.373,0.212166
166,0.693571,-0.002135,190.493,210.524,0.221062
167,0.697903,-0.010157,191.170,210.676,0.220806
168,0.700443,-0.047763,191.851,210.828,0.219587
169,0.704818,-0.092774,192.536,210.977,0.213856
170,0.704476,-0.091251,193.226,211.119,0.202723
171,0.702966,-0.035139,193.918,211.253,0.191773
172,0.700461,-0.029577,194.608,211.384,0.187556
173,0.699006,-0.017947,195.297,211.512,0.184007
174,0.702552,-0.059668,195.984,211.638,0.181853
175,0.703658,-0.054152,196.676,211.761,0.174693
176,0.698968,-0.043147,197.370,211.878,0.168195
177,0.699757,-0.001024,198.060,211.992,0.163017
178,0.705646,-0.039371,198.750,212.105,0.162894
179,0.700241,-0.083670,199.447,212.216,0.158170
180,0.698731,-0.087263,200.140,212.320,0.148129
181,0.699915,-0.077825,200.832,212.416,0.137658
182,0.704665,-0.072869,201.526,212.505,0.128319
183,0.704923,-0.073781,202.226,212.589,0.119574
184,0.707937,-0.068390,202.926,212.667,0.110721
185,0.702702,-0.060651,203.630,212.740,0.102514
186,0.703283,-0.014562,204.330,212.806,0.095236
187,0.709941,-0.012624,205.030,212.872,0.093488
188,0.706753,0.021825,205.737,212.937,0.091973
189,0.697681,0.067026,206.441,213.004,0.094592
190,0.695856,0.066673,207.135,213.076,0.102636
191,0.693427,-0.013768,207.826,213.152,0.110636
192,0.689848,-0.015664,208.516,213.228,0.108984
193,0.691008,-0.006588,209.201,213.302,0.107104
194,0.688758,-0.005296,209.889,213.375,0.106314
195,0.686994,0.082193,210.573,213.448,0.105678
196,0.686348,0.114439,211.256,213.527,0.115542
197,0.687886,0.069994,211.936,213.615,0.129274
198,0.691729,0.102169,212.618,213.710,0.137674
199,0.691741,0.138728,213.302,213.813,0.149934
200,0.688451,0.091118,213.984,213.928,0.166581
201,0.686763,0.086518,214.662,214.049,0.177515
202,0.689210,0.075534,215.336,214.177,0.187898
203,0.691285,0.045878,216.012,214.312,0.196962
204,0.691583,-0.046220,216.689,214.451,0.202467
205,0.697959,-0.049252,217.368,214.587,0.196921
206,0.697910,-0.042005,218.053,214.719,0.191010
207,0.697091,-0.042642,218.739,214.848,0.185970
208,0.701235,-0.047936,219.424,214.974,0.180853
209,0.704995,-0.088809,220.115,215.096,0.175101
210,0.709605,-0.006476,220.810,215.211,0.164443
211,0.708476,-0.043509,221.511,215.327,0.163666
212,0.710499,-0.003375,222.210,215.439,0.158445
213,0.706604,-0.043436,222.912,215.550,0.158040
214,0.703322,0.028821,223.610,215.658,0.152828
215,0.700276,-0.004991,224.305,215.767,0.156286
216,0.694857,-0.052192,224.997,215.876,0.155687
217,0.695596,-0.061836,225.684,215.979,0.149424
218,0.701260,-0.004396,226.372,216.078,0.142004
219,0.703833,-0.009809,227.067,216.177,0.141476
220,0.700894,0.034196,227.764,216.275,0.140299
221,0.694711,0.034272,228.457,216.376,0.144403
222,0.699508,-0.012763,229.144,216.479,0.148516
223,0.701546,-0.016859,229.836,216.581,0.146984
224,0.697782,-0.021461,230.530,216.683,0.144961
225,0.693742,-0.095147,231.221,216.782,0.142385
226,0.696065,-0.126817,231.909,216.872,0.130968
227,0.702509,-0.119786,232.600,216.953,0.115750
228,0.699707,-0.052453,233.299,217.024,0.101376
229,0.699930,-0.040207,233.996,217.090,0.095081
230,0.695354,-0.030197,234.693,217.153,0.090256
231,0.698913,-0.067563,235.386,217.213,0.086633
232,0.697154,-0.063407,236.082,217.268,0.078525
233,0.701470,-0.020077,236.778,217.318,0.070916
234,0.697645,0.039638,237.478,217.366,0.068507
235,0.703356,0.033102,238.173,217.417,0.073264
236,0.702082,-0.012707,238.875,217.471,0.077236
237,0.700703,-0.010497,239.575,217.524,0.075711
238,0.691563,-0.041854,240.273,217.576,0.074451
239,0.694617,-0.039975,240.963,217.624,0.069429
240,0.692050,-0.009459,241.657,217.669,0.064632
241,0.690085,-0.053613,242.347,217.713,0.063497
242,0.690727,-0.011670,243.036,217.752,0.057063
243,0.693204,-0.008458,243.726,217.791,0.055663
244,0.693623,-0.011031,244.418,217.829,0.054648
