step,thrust,turn,x,y,theta
120,0.692577,-0.024432,159.361,193.279,-0.124387
121,0.691416,0.054264,160.048,193.191,-0.127319
122,0.693332,-0.021463,160.734,193.108,-0.120808
123,0.690660,0.001123,161.422,193.023,-0.123383
124,0.693102,-0.004686,162.108,192.938,-0.123249
125,0.695015,-0.043905,162.795,192.852,-0.123811
126,0.693601,-0.085467,163.485,192.763,-0.129079
127,0.689725,-0.054309,164.172,192.666,-0.139335
128,0.690728,-0.135298,164.854,192.566,-0.145853
129,0.689023,-0.139559,165.536,192.455,-0.162088
130,0.687557,-0.175507,166.214,192.332,-0.178835
131,0.680034,-0.185011,166.888,192.196,-0.199896
132,0.677469,-0.169021,167.551,192.046,-0.222098
133,0.671189,-0.161457,168.209,191.883,-0.242380
134,0.669388,-0.115703,168.857,191.709,-0.261755
135,0.671978,-0.075322,169.501,191.527,-0.275639
136,0.677361,-0.024238,170.146,191.339,-0.284678
137,0.675658,-0.059732,170.795,191.146,-0.287587
138,0.675409,0.045711,171.442,190.950,-0.294754
139,0.677079,0.037943,172.089,190.757,-0.289269
140,0.679434,0.077329,172.739,190.567,-0.284716
141,0.681410,0.085869,173.393,190.382,-0.275437
142,0.679401,0.078960,174.051,190.204,-0.265132
143,0.684314,-0.057791,174.708,190.032,-0.255657
144,0.691262,-0.012123,175.369,189.854,-0.262592
145,0.691251,-0.004038,176.036,189.674,-0.264047
146,0.687410,-0.002994,176.703,189.493,-0.264531
147,0.686553,0.015107,177.367,189.313,-0.264891
148,0.687351,-0.033938,178.030,189.135,-0.263078
149,0.686606,0.004408,178.693,188.953,-0.267150
150,0.690348,-0.002099,179.355,188.772,-0.266621
151,0.693238,0.121434,180.021,188.590,-0.266873
152,0.694064,0.162067,180.692,188.417,-0.252301
153,0.697165,0.187655,181.367,188.257,-0.232853
154,0.698733,0.138080,182.049,188.112,-0.210334
155,0.707750,0.093404,182.735,187.977,-0.193765
156,0.710408,0.031637,183.431,187.849,-0.182556
157,0.707119,0.049888,184.130,187.722,-0.178760
158,0.705203,0.038248,184.827,187.601,-0.172774
159,0.708892,0.026743,185.522,187.483,-0.168184
160,0.708945,0.026136,186.221,187.366,-0.164975
161,0.702565,0.013134,186.921,187.252,-0.161838
162,0.703590,0.089551,187.614,187.140,-0.160262
163,0.702290,-0.026903,188.310,187.035,-0.149516
164,0.701381,-0.074425,189.004,186.928,-0.152744
165,0.694635,-0.118015,189.696,186.815,-0.161675
166,0.696567,-0.109868,190.380,186.694,-0.175837
167,0.700588,-0.150259,191.065,186.563,-0.189021
168,0.700110,-0.157943,191.750,186.419,-0.207052
169,0.704132,-0.196144,192.432,186.262,-0.226006
170,0.702419,-0.192460,193.115,186.088,-0.249543
171,0.696647,-0.142593,193.791,185.899,-0.272638
172,0.700260,-0.136980,194.459,185.700,-0.289749
173,0.700716,-0.083469,195.127,185.489,-0.306187
174,0.707772,-0.073703,195.793,185.271,-0.316203
175,0.704790,0.010957,196.463,185.045,-0.325047
176,0.700044,0.015003,197.131,184.821,-0.323733
177,0.699284,-0.031440,197.795,184.599,-0.321932
178,0.701937,-0.027231,198.458,184.376,-0.325705
179,0.700328,-0.000871,199.122,184.149,-0.328973
180,0.693448,-0.009215,199.785,183.922,-0.329077
181,0.694477,-0.091179,200.441,183.698,-0.330183
182,0.699138,-0.137101,201.096,183.465,-0.341125
183,0.696323,-0.100478,201.750,183.221,-0.357577
184,0.692106,-0.136654,202.400,182.969,-0.369634
185,0.684773,-0.090900,203.041,182.708,-0.386033
186,0.690185,-0.085866,203.672,182.444,-0.396941
187,0.695070,-0.002561,204.306,182.170,-0.407245
188,0.691399,0.039570,204.944,181.895,-0.407552
189,0.681345,0.124597,205.580,181.624,-0.402803
190,0.680460,0.122186,206.211,181.366,-0.387852
191,0.677557,0.109677,206.845,181.118,-0.373189
192,0.679060,0.108703,207.479,180.879,-0.360028
193,0.683655,0.101347,208.117,180.648,-0.346984
194,0.684601,-0.030208,208.763,180.424,-0.334822
195,0.688679,-0.044289,209.409,180.196,-0.338447
196,0.691062,-0.006565,210.057,179.964,-0.343762
197,0.691670,-0.125337,210.708,179.731,-0.344550
198,0.696958,-0.126316,211.355,179.488,-0.359590
199,0.700904,-0.088242,212.004,179.232,-0.374748
200,0.702709,-0.044695,212.653,178.969,-0.385337
201,0.701155,-0.088576,213.303,178.701,-0.390700
202,0.700814,-0.048930,213.948,178.427,-0.401329
203,0.701456,-0.042602,214.592,178.150,-0.407201
204,0.706136,0.031205,215.235,177.869,-0.412313
205,0.708283,0.022693,215.883,177.588,-0.408569
206,0.702231,0.062068,216.533,177.309,-0.405846
207,0.698343,0.018267,217.181,177.036,-0.398397
208,0.703397,0.013805,217.825,176.767,-0.396205
209,0.705815,-0.038772,218.474,176.496,-0.394549
210,0.710716,-0.003497,219.125,176.222,-0.399201
211,0.713246,0.048940,219.779,175.945,-0.399621
212,0.711558,0.091341,220.438,175.672,-0.393748
213,0.706012,0.046164,221.098,175.406,-0.382787
214,0.697970,0.029315,221.754,175.146,-0.377248
215,0.698715,-0.018622,222.404,174.891,-0.373730
216,0.693861,-0.071068,223.054,174.635,-0.375965
217,0.694018,-0.045996,223.697,174.374,-0.384493
218,0.699526,-0.076355,224.339,174.110,-0.390012
219,0.703249,-0.087265,224.984,173.839,-0.399175
220,0.700257,-0.046388,225.629,173.559,-0.409647
221,0.702224,-0.131436,226.270,173.276,-0.415213
222,0.708498,-0.101968,226.908,172.983,-0.430985
223,0.705132,0.021936,227.548,172.679,-0.443222
224,0.700940,-0.022650,228.185,172.378,-0.440589
225,0.700795,-0.107276,228.819,172.077,-0.443307
226,0.698660,-0.134979,229.448,171.769,-0.456180
227,0.704132,-0.184073,230.070,171.451,-0.472378
228,0.708631,-0.187261,230.690,171.117,-0.494466
229,0.710456,-0.184232,231.306,170.766,-0.516938
230,0.699638,-0.171193,231.915,170.402,-0.539046
231,0.703301,-0.168740,232.508,170.030,-0.559589
232,0.700494,-0.155705,233.097,169.645,-0.579838
233,0.699731,-0.157677,233.675,169.250,-0.598522
234,0.697290,-0.099272,234.246,168.845,-0.617443
235,0.699827,-0.058295,234.810,168.435,-0.629356
236,0.703679,-0.059481,235.372,168.019,-0.636352
237,0.695828,-0.097077,235.935,167.597,-0.643489
238,0.693712,-0.121213,236.487,167.173,-0.655138
239,0.693676,-0.077308,237.031,166.742,-0.669684
240,0.687465,-0.002208,237.571,166.307,-0.678961
241,0.687273,0.001864,238.106,165.875,-0.679226
242,0.688678,-0.002862,238.641,165.443,-0.679002
243,0.687513,-0.013627,239.176,165.010,-0.679346
244,0.684738,0.018628,239.711,164.578,-0.680981
245,0.687369,0.050539,240.244,164.148,-0.678746
246,0.686632,0.055378,240.781,163.719,-0.672681
247,0.684894,0.009449,241.321,163.295,-0.666036
248,0.689700,0.079192,241.860,162.873,-0.664902
249,0.689188,0.035961,242.407,162.452,-0.655399
250,0.686374,0.029902,242.955,162.035,-0.651083
251,0.686236,0.052418,243.502,161.621,-0.647495
